,level_0,index,article_name,country,revision_id,scores,population
12786,12786,38038,Anton Bakov,Russia,800884630,GA,147300000
12787,12787,38067,Sergei Alexeyev,Russia,800918722,Stub,147300000
12788,12788,38171,Nikolay Lyubimov,Russia,801022191,Start,147300000
12789,12789,38184,Artem Mikoyan,Russia,801040019,C,147300000
12790,12790,38242,Vasily Starodubtsev,Russia,801095851,Start,147300000
12791,12791,38280,Viktor Barannikov,Russia,801119890,Stub,147300000
12792,12792,38281,Viktor Gozhy,Russia,801119998,Stub,147300000
12793,12793,38282,Viktor Rashnikov,Russia,801120123,GA,147300000
12794,12794,38298,Vitaly Fedorchuk,Russia,801130339,C,147300000
12795,12795,38303,Vladimir Ashurkov,Russia,801132540,Stub,147300000
12796,12796,38304,Vladimir Kvachkov,Russia,801132908,GA,147300000
12797,12797,38311,Vyacheslav Shtyrov,Russia,801138501,Stub,147300000
12798,12798,38339,Nikolay Alekseyev,Russia,801162709,GA,147300000
12799,12799,38586,Yelena Mizulina,Russia,801311193,GA,147300000
12800,12800,38622,Yuriy Molchanov,Russia,801325060,Stub,147300000
12801,12801,38623,Yury Luzhkov,Russia,801325115,C,147300000
12802,12802,38636,Alexander Kutepov,Russia,801331826,Start,147300000
12803,12803,38710,Givi Gumbaridze,Russia,801375973,Stub,147300000
12804,12804,38748,Boris Spiegel,Russia,801400406,Start,147300000
12805,12805,38799,Alexander Bastrykin,Russia,801445464,C,147300000
12806,12806,38810,Alexey Smertin,Russia,801450661,C,147300000
12807,12807,38816,Andrey Aizderdzis,Russia,801453550,Stub,147300000
12808,12808,38817,Andrey Illarionov,Russia,801453562,C,147300000
12809,12809,38888,Denis Voronenkov,Russia,801496408,GA,147300000
12810,12810,39104,List of Soviet foreign ministers,Russia,801644374,Stub,147300000
12811,12811,39109,Minister of Foreign Affairs (Russia),Russia,801647858,Start,147300000
12812,12812,39189,Gavriil Kharitonovich Popov,Russia,801733189,Start,147300000
12813,12813,39228,List of presidents of Russia,Russia,801798096,C,147300000
12814,12814,39247,Oleg Mitvol,Russia,801815274,Start,147300000
12815,12815,39523,Aleksandr Shlyakhturov,Russia,802072074,Stub,147300000
12816,12816,39528,Aleksei Shaposhnikov (politician),Russia,802076252,Start,147300000
12817,12817,39529,Domenty Kulumbegov,Russia,802076493,Stub,147300000
12818,12818,39592,Aleksandr Yefremov (politician),Russia,802144665,Start,147300000
12819,12819,39601,Alina Kabaeva,Russia,802150816,GA,147300000
12820,12820,39610,Pavel Zavalny,Russia,802158232,Stub,147300000
12821,12821,39613,Eugen Rozvan,Russia,802163481,B,147300000
12822,12822,39614,Alexey Voyevoda,Russia,802164682,C,147300000
12823,12823,39637,Vasily Piskarev,Russia,802193514,Stub,147300000
12824,12824,39654,Valery Boldin,Russia,802220639,Start,147300000
12825,12825,39657,Olga Savastianova,Russia,802226038,Stub,147300000
12826,12826,39661,Yakov Sverdlov,Russia,802231828,C,147300000
12827,12827,39672,Valery Rashkin,Russia,802252054,Stub,147300000
12828,12828,39738,Dimitry Vasiliev,Russia,802318284,Start,147300000
12829,12829,39761,Olga Yepifanova,Russia,802347873,Stub,147300000
12830,12830,39782,Yevgeny Moskvichev,Russia,802370251,Stub,147300000
12831,12831,39923,Konstantin Rodofinikin,Russia,802439716,Stub,147300000
12832,12832,39946,Dimitrie Cantemir,Russia,802443924,C,147300000
12833,12833,40040,Valeriya Novodvorskaya,Russia,802478730,GA,147300000
12834,12834,40066,Vladislav Ignatov,Russia,802515811,Stub,147300000
12835,12835,40110,Natalia Zhdanova,Russia,802553738,Stub,147300000
12836,12836,40129,Pyotr Voykov,Russia,802568810,C,147300000
12837,12837,40166,Alexander Lebed,Russia,802624016,GA,147300000
12838,12838,40259,Sergei Kruglov (politician),Russia,802677556,C,147300000
12839,12839,40263,Natalya Komarova,Russia,802679805,Stub,147300000
12840,12840,40324,Eduard Shevardnadze,Russia,802719062,C,147300000
12841,12841,40432,Vladimir Gusinsky,Russia,802824483,B,147300000
12842,12842,40459,Nikolay Merkushkin,Russia,802841849,Start,147300000
12843,12843,40517,Alexander Melnikov (politician),Russia,802890456,Start,147300000
12844,12844,40589,Igor Shuvalov,Russia,802948614,C,147300000
12845,12845,40613,Roman Antonov,Russia,802974549,Stub,147300000
12846,12846,40678,Ivan Ivanovich Tolstoy,Russia,803062680,Stub,147300000
12847,12847,40711,Dmitri Shostakovich,Russia,803093468,FA,147300000
12848,12848,40758,Ayaz Mutallibov,Russia,803144052,Start,147300000
12849,12849,40761,Georgy Shakhnazarov,Russia,803148703,Start,147300000
12850,12850,40766,Yevgenia Bosch,Russia,803158046,C,147300000
12851,12851,40944,Dmitry Kozak,Russia,803347551,C,147300000
12852,12852,40950,Confessions of a rebel,Russia,803354261,Start,147300000
12853,12853,41070,Pavel Batitsky,Russia,803474906,Start,147300000
12854,12854,41210,Georgy Arbatov,Russia,803624982,C,147300000
12855,12855,41242,Valery Shantsev,Russia,803661752,Stub,147300000
12856,12856,41248,Igor Koshin,Russia,803666934,Stub,147300000
12857,12857,41258,Elena Stasova,Russia,803675850,C,147300000
12858,12858,41266,Sergey Glazyev,Russia,803680249,C,147300000
12859,12859,41367,Aleksandr Hudilainen,Russia,803767746,Stub,147300000
12860,12860,41383,Maria Zakharova,Russia,803782960,C,147300000
12861,12861,41392,Yevgeny Primakov,Russia,803791949,GA,147300000
12862,12862,41583,Viktor Khristenko,Russia,803934346,C,147300000
12863,12863,41595,Andrei Zhdanov,Russia,803941485,C,147300000
12864,12864,41689,Nikolai Valuev,Russia,804030176,C,147300000
12865,12865,41712,Viktor Tolokonsky,Russia,804051970,Stub,147300000
12866,12866,41713,Anatoly Lokot,Russia,804052279,Stub,147300000
12867,12867,41714,Vladimir Gorodetsky,Russia,804052443,Start,147300000
12868,12868,41716,Head of the Republic of Buryatia,Russia,804053612,Stub,147300000
12869,12869,41719,Alexander Vinnikov,Russia,804054957,Start,147300000
12870,12870,41737,Aleksandr Smetanov,Russia,804069464,Stub,147300000
12871,12871,41779,Alexander Dabravolski,Russia,804091882,Start,147300000
12872,12872,41925,Nikolai Shchelokov,Russia,804206195,C,147300000
12873,12873,41935,Petrus Brovka,Russia,804217321,Start,147300000
12874,12874,41970,Igor Ivanov,Russia,804240903,Start,147300000
12875,12875,41971,Nikolai Patrushev,Russia,804241447,C,147300000
12876,12876,42001,Geydar Dzhemal,Russia,804260808,C,147300000
12877,12877,42002,Eduard Limonov,Russia,804261661,C,147300000
12878,12878,42101,Nikolai Belyaev,Russia,804339967,Start,147300000
12879,12879,42107,Nikolay Maksyuta,Russia,804341827,Stub,147300000
12880,12880,42116,Moisei Uritsky,Russia,804350692,Start,147300000
12881,12881,42157,Grigory Anikeyev,Russia,804382439,Stub,147300000
12882,12882,42168,Sergey Sobyanin,Russia,804393666,C,147300000
12883,12883,42199,Alexey Gordeyev,Russia,804427200,Start,147300000
12884,12884,42235,Alexey Gromov,Russia,804458904,Start,147300000
12885,12885,42236,Sergey Yastrzhembsky,Russia,804458929,Start,147300000
12886,12886,42242,Fyodor Palen,Russia,804465687,Start,147300000
12887,12887,42243,Fyodor Trepov (senior),Russia,804465869,Start,147300000
12888,12888,42285,Governor (Russia),Russia,804501084,C,147300000
12889,12889,42292,Vladimir Frederiks,Russia,804506990,Start,147300000
12890,12890,42332,Kongar-ol Ondar,Russia,804529984,Start,147300000
12891,12891,42369,Alexandra Kollontai,Russia,804554782,C,147300000
12892,12892,42395,Adam Amirilayev,Russia,804580957,Stub,147300000
12893,12893,42396,Pyotr Durnovo,Russia,804580983,Start,147300000
12894,12894,42429,Boris Ebzeyev,Russia,804607555,Start,147300000
12895,12895,42430,Artur Parfenchikov,Russia,804607655,Stub,147300000
12896,12896,42432,Viktor Zimin (politician),Russia,804608587,Stub,147300000
12897,12897,42435,Alexander Karlin,Russia,804610928,Stub,147300000
12898,12898,42444,Galaktion Alpaidze,Russia,804630027,C,147300000
12899,12899,42465,Galina Starovoytova,Russia,804653846,C,147300000
12900,12900,42537,Vasily Karazin,Russia,804721985,C,147300000
12901,12901,42582,Aman Tuleyev,Russia,804757755,Start,147300000
12902,12902,42583,Oleg Korolyov,Russia,804758211,Stub,147300000
12903,12903,42608,Aleksandr Khoroshavin,Russia,804792833,Stub,147300000
12904,12904,42609,Oleg Kozhemyako,Russia,804793639,Stub,147300000
12905,12905,42661,Anton Alikhanov,Russia,804830088,C,147300000
12906,12906,42695,Olga Timofeeva,Russia,804861343,Stub,147300000
12907,12907,42718,Pyotr Valuyev,Russia,804875825,Start,147300000
12908,12908,42894,Pavel Gagarin,Russia,804955788,Start,147300000
12909,12909,42898,Alexei Khvostov,Russia,804956673,Start,147300000
12910,12910,42900,Ivan Tevosian,Russia,804956920,Stub,147300000
12911,12911,42965,Pyotr Masherov,Russia,804982360,Start,147300000
12912,12912,42970,Mikhail Borodin,Russia,804982460,C,147300000
12913,12913,42971,Minay Shmyryov,Russia,804982462,Start,147300000
12914,12914,43020,Stanislav Govorukhin,Russia,805017954,C,147300000
12915,12915,43030,Valentina Matviyenko,Russia,805023088,C,147300000
12916,12916,43145,Pavel Astakhov,Russia,805108758,GA,147300000
12917,12917,43169,Alexander Rosenbaum,Russia,805131937,C,147300000
12918,12918,43235,Nikolay Yusupov,Russia,805161805,Start,147300000
12919,12919,43430,Yuri Andropov,Russia,805296539,GA,147300000
12920,12920,43459,Alexander Bessmertnykh (politician),Russia,805326518,Start,147300000
12921,12921,43473,Paul Ignatieff,Russia,805337517,Start,147300000
12922,12922,43474,Nikolay Pavlovich Ignatyev,Russia,805337604,C,147300000
12923,12923,43475,Andrey Matveyev,Russia,805338822,Start,147300000
12924,12924,43477,Pavel Andreyevich Shuvalov,Russia,805339242,Start,147300000
12925,12925,43478,Peter Ivanovich Shuvalov,Russia,805339335,Start,147300000
12926,12926,43479,Dmitry Tolstoy,Russia,805339944,Start,147300000
12927,12927,43481,Pyotr Andreyevich Tolstoy,Russia,805340765,C,147300000
12928,12928,43495,Maria Kozhevnikova,Russia,805349341,Start,147300000
12929,12929,43525,Aleksandr Karelin,Russia,805372112,C,147300000
12930,12930,43535,Vladimir Fyodorovich Adlerberg,Russia,805378504,Start,147300000
12931,12931,43536,German Sadulaev,Russia,805378651,Start,147300000
12932,12932,43724,Rashid Nurgaliyev,Russia,805491526,Start,147300000
12933,12933,43754,Alexander Chernyshyov,Russia,805511855,B,147300000
12934,12934,43823,Vadim Dengin,Russia,805550655,Start,147300000
12935,12935,43918,Georgy Beregovoy,Russia,805620546,C,147300000
12936,12936,43955,Maxim Oreshkin,Russia,805641174,Stub,147300000
12937,12937,44106,Dmitry Milyutin,Russia,805764416,Start,147300000
12938,12938,44107,Alexander Sergeyevich Makarov,Russia,805765267,C,147300000
12939,12939,44144,Igor Lebedev (politician),Russia,805787453,Start,147300000
12940,12940,44150,The Anarchist Prince,Russia,805789472,Stub,147300000
12941,12941,44205,Dmitry Peskov,Russia,805818257,Start,147300000
12942,12942,44228,Leonid Kalashnikov,Russia,805831538,Stub,147300000
12943,12943,44229,Vladimir Kashin,Russia,805831603,Stub,147300000
12944,12944,44230,Dmitry Novikov,Russia,805832297,Stub,147300000
12945,12945,44249,Konstantin Chernenko,Russia,805848377,C,147300000
12946,12946,44366,Polina Zhemchuzhina,Russia,805926046,C,147300000
12947,12947,44376,Lev Kamenev,Russia,805929146,C,147300000
12948,12948,44379,V. Volodarsky,Russia,805931981,C,147300000
12949,12949,44554,Heydar Aliyev,Russia,806053636,GA,147300000
12950,12950,44599,Samuil Greig,Russia,806082081,Stub,147300000
12951,12951,44609,Evgeny Markin,Russia,806088256,Start,147300000
12952,12952,44691,Sergei Pugachev,Russia,806154997,B,147300000
12953,12953,44705,Struve family,Russia,806161678,B,147300000
12954,12954,44738,Justas Paleckis,Russia,806175687,Start,147300000
12955,12955,44792,Sergei Obukhov,Russia,806201160,Stub,147300000
12956,12956,44800,Roman Abramovich,Russia,806204233,B,147300000
12957,12957,44804,Yury Kokov,Russia,806206941,Stub,147300000
12958,12958,44842,Alexander Stroganov,Russia,806225589,Stub,147300000
12959,12959,44849,Marat Khusnullin,Russia,806231584,C,147300000
12960,12960,44860,Alexander Sergeyevich Yakovlev,Russia,806241353,Start,147300000
12961,12961,44869,Andrei Vladimirovich Bogdanov,Russia,806248989,C,147300000
12962,12962,44903,Garry Kasparov,Russia,806275469,B,147300000
12963,12963,45094,Igor Levitin,Russia,806370452,C,147300000
12964,12964,45212,Vasily Skalon,Russia,806437433,Stub,147300000
12965,12965,45282,Mikhail Gorbachev,Russia,806492920,FA,147300000
12966,12966,45453,Yury Skuratov,Russia,806596118,Stub,147300000
12967,12967,45632,Mikhail Fridman,Russia,806695872,GA,147300000
12968,12968,45663,Nikolai Petrovsky,Russia,806710923,Start,147300000
12969,12969,45700,Roald Sagdeev,Russia,806739721,C,147300000
12970,12970,45804,Georgy Chicherin,Russia,806787463,C,147300000
12971,12971,45828,Grigory Potemkin,Russia,806805965,FA,147300000
12972,12972,45829,Grigory Yavlinsky,Russia,806806045,C,147300000
12973,12973,45867,Andrey Razumovsky,Russia,806820088,C,147300000
12974,12974,45878,Boris Nemtsov,Russia,806823521,B,147300000
12975,12975,45912,Levan Gogoberidze,Russia,806838834,Stub,147300000
12976,12976,45913,Mikheil Kakhiani,Russia,806838847,Stub,147300000
12977,12977,45937,Leon Trotsky,Russia,806850604,B,147300000
